Department,Monthly Income,Business Travel,Over Time,Job Satisfaction,Work Life Balance,Years At Company,Attrition
Sales,5884.173565,Non-Travel,Yes,4,4,6,No
Human Resources,3936.96979,Travel_Frequently,No,3,4,10,Yes
Human Resources,4558.882512,Travel_Frequently,No,3,2,6,Yes
Sales,4665.591314,Travel_Rarely,No,4,4,10,No
Human Resources,5025.748691,Non-Travel,No,1,1,7,Yes
Sales,4161.575045,Non-Travel,Yes,1,1,10,Yes
Human Resources,5303.086484,Travel_Rarely,No,4,3,8,No
Research & Development,4755.614174,Travel_Frequently,Yes,3,1,11,Yes
Sales,4135.714262,Non-Travel,No,3,1,10,Yes
Research & Development,5172.198873,Travel_Rarely,No,3,2,9,No
Research & Development,4444.403399,Travel_Rarely,No,2,1,10,Yes
Human Resources,5028.159018,Non-Travel,No,1,1,9,Yes
Human Resources,5265.911497,Travel_Frequently,Yes,1,3,5,Yes
Human Resources,5872.590914,Travel_Rarely,No,1,4,9,No
Sales,5535.68083,Travel_Rarely,No,1,1,8,No
Human Resources,4835.688556,Non-Travel,Yes,1,1,9,Yes
Sales,4652.181595,Travel_Rarely,Yes,2,2,9,Yes
Research & Development,4069.512193,Travel_Frequently,No,3,2,8,Yes
Human Resources,5347.592687,Travel_Rarely,Yes,2,4,5,Yes
Research & Development,4771.846883,Non-Travel,No,2,1,10,No
Sales,4508.833615,Non-Travel,Yes,4,1,14,No
Sales,4638.280328,Travel_Rarely,No,3,4,9,No
Sales,4817.293837,Travel_Frequently,Yes,2,2,9,Yes
Sales,5588.104045,Non-Travel,Yes,2,1,9,Yes
Sales,4062.118394,Travel_Frequently,No,4,3,11,No
Sales,4595.599057,Travel_Rarely,No,2,1,11,No
Human Resources,4205.030556,Travel_Frequently,Yes,2,4,8,Yes
Sales,5222.128959,Non-Travel,Yes,3,4,11,No
Sales,4562.856061,Non-Travel,No,4,1,9,No
Research & Development,5216.995104,Travel_Frequently,No,3,1,11,No
Sales,4147.664745,Non-Travel,Yes,1,4,8,Yes
Human Resources,4935.189033,Non-Travel,Yes,3,1,11,No
Sales,4830.390566,Travel_Frequently,Yes,1,3,8,Yes
Human Resources,5488.382736,Travel_Frequently,No,3,3,13,No
Human Resources,5458.456634,Travel_Frequently,No,2,4,11,No
Research & Development,4633.567999,Travel_Frequently,No,2,4,10,No
Research & Development,4837.090363,Travel_Frequently,No,1,2,9,Yes
Human Resources,5126.515417,Non-Travel,No,4,4,9,No
Research & Development,5184.499845,Travel_Rarely,Yes,3,2,13,Yes
Sales,4395.944954,Travel_Rarely,Yes,3,3,9,Yes
Research & Development,4434.091327,Travel_Frequently,Yes,4,4,12,Yes
Human Resources,4861.627473,Non-Travel,Yes,3,2,11,Yes
Human Resources,5156.534416,Non-Travel,Yes,4,2,11,No
Human Resources,4865.548018,Non-Travel,Yes,4,3,10,No
Research & Development,5412.147344,Travel_Frequently,No,2,4,9,No
Research & Development,5301.985183,Non-Travel,No,3,4,9,No
Sales,5573.056406,Travel_Frequently,No,2,1,8,No
Sales,4646.922595,Travel_Rarely,Yes,1,2,11,Yes
Human Resources,4968.659082,Non-Travel,No,2,4,10,No
Sales,4784.9938,Travel_Rarely,No,2,2,16,No
Research & Development,4316.857001,Travel_Rarely,Yes,2,4,7,Yes
Human Resources,4803.012907,Non-Travel,No,1,1,9,Yes
Human Resources,4443.757221,Travel_Rarely,Yes,4,1,10,Yes
Research & Development,4178.034726,Travel_Rarely,No,1,2,12,Yes
Sales,4997.972639,Travel_Frequently,Yes,2,3,10,Yes
Research & Development,4707.316951,Travel_Rarely,No,3,3,10,No
Human Resources,4897.296954,Non-Travel,No,2,3,11,No
Human Resources,4995.373274,Travel_Rarely,No,4,4,9,No
Research & Development,3768.698582,Travel_Rarely,No,3,3,12,No
Sales,4795.335026,Travel_Frequently,No,1,3,10,No
Sales,4924.271411,Travel_Frequently,No,3,1,10,No
Research & Development,5430.105413,Travel_Frequently,No,2,1,12,No
Human Resources,5847.044714,Non-Travel,No,1,1,9,No
Sales,4581.835794,Travel_Frequently,No,4,3,9,No
Sales,4664.426072,Travel_Frequently,No,4,4,10,No
Human Resources,4989.719276,Non-Travel,Yes,2,4,11,No
Research & Development,4725.407164,Travel_Frequently,No,2,1,11,Yes
Sales,5226.156092,Travel_Frequently,Yes,4,3,9,Yes
Human Resources,4279.337325,Travel_Frequently,No,3,2,12,Yes
Sales,4564.369601,Non-Travel,Yes,4,4,9,No
Human Resources,4814.928802,Travel_Rarely,No,4,2,11,No
Sales,5146.328992,Non-Travel,No,1,1,11,Yes
Research & Development,5030.5368,Non-Travel,No,2,2,8,Yes
Research & Development,5269.355389,Non-Travel,No,3,2,11,No
Human Resources,4671.875492,Travel_Frequently,No,3,4,12,No
Sales,4556.336076,Travel_Rarely,No,1,1,10,Yes
Human Resources,5292.068669,Non-Travel,No,1,4,7,No
Sales,5249.238539,Travel_Rarely,Yes,1,2,10,Yes
Sales,4704.574939,Non-Travel,No,4,3,8,No
Research & Development,5067.091006,Travel_Rarely,No,2,3,6,Yes
